kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"403838","032","03212","521119","03212DL","2376","SAC","2","A","0","00000001","2451","2",229680000
"403838","032","03212","511621","03212WA","2378","EBA","2","A","0","00000001","2451","2",3559000
"403838","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","2451","2",120806000
"403838","032","03212","522141","03212DL","2376","SAC","2","A","0","00000001","2451","2",19500000
"403838","032","03212","521213","03212DL","2376","SAC","2","A","0","00000001","2451","2",11250000
"403838","032","03212","522151","03212DL","2376","SAC","2","A","0","00000001","2451","2",468800000
"403838","032","03212","521112","03212DL","2376","SAC","2","A","0","00000001","2451","2",4830750000
"403839","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","1905","2",2068420000
"403839","032","03212","522191","03212DL","2376","ABW","2","A","0","00000001","1905","2",2000000
"403839","032","03212","532111","03212DL","2376","RAA","2","D","0","00000001","1905","2",196770000
"403839","032","03212","521211","03212DL","2376","ABW","2","A","0","00000001","1905","2",43000000
"403839","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","1905","2",11424000
"403839","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","1905","2",780000000
"238755","032","03212","522141","03212DL","2375","SCC","2","A","0","00000001","2151","2",168000000
"427618","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","2151","2",149808000
"427618","032","03212","511152","03212WA","2378","EBA","2","A","0","00000001","2151","2",229470000
"238755","032","03212","521811","03212DL","2375","QDD","2","A","0","00000001","2151","2",169250000
"238755","032","03212","521211","03212WA","2378","EBA","2","A","0","00000001","2151","2",66276000
"427618","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","2151","2",4578000
"238755","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","2151","2",89222000
"427618","032","03212","523121","03212DL","2376","SAC","2","A","0","00000001","2151","2",162000000
"427618","032","03212","511611","03212WA","2378","EBA","2","A","0","00000001","2151","2",41532000
"427618","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","2151","2",540000000
"427618","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","2151","2",2540334000
"427618","032","03212","524113","03212WA","2378","EBA","2","A","0","00000001","2151","2",4500000
"427618","032","03212","532111","03212DL","2376","RAN","2","D","0","00000001","2151","2",190000000
"427618","032","03212","521219","03212WA","2378","EBA","2","A","0","00000001","2151","2",5807000
"427618","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","2151","2",186128000
"427618","032","03212","521213","03212WA","2378","EBD","2","A","0","00000001","2151","2",3000000
"427618","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","2151","2",629456000
"238755","032","03212","511621","03212WA","2378","EBA","2","A","0","00000001","2151","2",91369000
"634146","032","03212","521219","03212DL","2376","QDD","2","A","0","00000001","3351","2",43700000
"634146","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","3351","2",507454000
"634146","032","03212","511138","03212WA","2378","EBA","2","A","0","00000001","3351","2",661270000
"634146","032","03212","522191","03212DL","2376","SAC","2","A","0","00000001","3351","2",14600000
"634146","032","03212","512211","03212WA","2378","EBA","2","A","0","00000001","3351","2",334113000
"634146","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","3351","2",7332533000
"634146","032","03212","521211","03212DL","2376","QDD","2","A","0","00000001","3351","2",12500000
"634146","032","03212","524113","03212DL","2376","SAC","2","A","0","00000001","3351","2",29560000
"634146","032","03212","521252","03212DL","2376","RAA","2","D","0","00000001","3351","2",4198000
"634146","032","03212","532111","03212DL","2376","RAA","2","D","0","00000001","3351","2",231500000
"403837","032","03212","524113","03212DL","2376","SAC","2","A","0","00000001","0209","2",49000000
"403837","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0209","2",2696275000
"403837","032","03212","522191","03212DL","2376","ABW","2","A","0","00000001","0209","2",5000000
"403837","032","03212","521219","03212DL","2376","QDD","2","A","0","00000001","0209","2",1300000
"403837","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0209","2",7560000
"403837","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0209","2",8232000
"403837","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","0209","2",264600000
"403837","032","03212","511622","03212WA","2378","EBA","2","A","0","00000001","0209","2",1750000
